,awardYear,category,knownName.en,motivation,prizeAmountAdjusted,wikipedia.english,links.href
33,2023,Chemistry,Aleksey Yekimov ,for the discovery and synthesis of quantum dots,11000000.0,https://en.wikipedia.org/wiki/Alexei_Ekimov,https://api.nobelprize.org/2/laureate/1031
537,2023,Physiology or Medicine,Katalin Karikó,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,11000000.0,https://en.wikipedia.org/wiki/Katalin_Karikó,https://api.nobelprize.org/2/laureate/1024
647,2023,Chemistry,Moungi Bawendi,for the discovery and synthesis of quantum dots,11000000.0,https://en.wikipedia.org/wiki/Moungi_Bawendi,https://api.nobelprize.org/2/laureate/1029
655,2023,Peace,Narges Mohammadi,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,11000000.0,https://en.wikipedia.org/wiki/Narges_Mohammadi,https://api.nobelprize.org/2/laureate/1033
583,2023,Chemistry,Louis Brus,for the discovery and synthesis of quantum dots,11000000.0,https://en.wikipedia.org/wiki/Louis_E._Brus,https://api.nobelprize.org/2/laureate/1030
735,2023,Physics,Pierre Agostini,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000.0,https://en.wikipedia.org/wiki/Pierre_Agostini,https://api.nobelprize.org/2/laureate/1026
201,2023,Physiology or Medicine,Drew Weissman,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,11000000.0,https://en.wikipedia.org/wiki/Drew_Weissman,https://api.nobelprize.org/2/laureate/1025
156,2023,Economic Sciences,Claudia Goldin,for having advanced our understanding of women’s labour market outcomes,11000000.0,https://en.wikipedia.org/wiki/Claudia_Goldin,https://api.nobelprize.org/2/laureate/1034
508,2023,Literature,Jon Fosse,for his innovative plays and prose which give voice to the unsayable,11000000.0,https://en.wikipedia.org/wiki/Jon_Fosse,https://api.nobelprize.org/2/laureate/1032
64,2023,Physics,Anne L’Huillier,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000.0,https://en.wikipedia.org/wiki/Anne_L%27Huillier,https://api.nobelprize.org/2/laureate/1028
267,2023,Physics,Ferenc Krausz,for experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,11000000.0,https://en.wikipedia.org/wiki/Ferenc_Krausz,https://api.nobelprize.org/2/laureate/1027
34,2022,Peace,Ales Bialiatski,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10000000.0,https://en.wikipedia.org/wiki/Ales_Bialiatski,https://api.nobelprize.org/2/laureate/1018
628,2022,Peace,,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10000000.0,https://en.wikipedia.org/wiki/Memorial_(society),https://api.nobelprize.org/2/laureate/1019
97,2022,Economic Sciences,Ben Bernanke,for research on banks and financial crises,10000000.0,https://en.wikipedia.org/wiki/Ben_Bernanke,https://api.nobelprize.org/2/laureate/1021
67,2022,Physics,Anton Zeilinger,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000.0,https://en.wikipedia.org/wiki/Anton_Zeilinger,https://api.nobelprize.org/2/laureate/1014
729,2022,Economic Sciences,Philip Dybvig,for research on banks and financial crises,10000000.0,https://en.wikipedia.org/wiki/Philip_H._Dybvig,https://api.nobelprize.org/2/laureate/1023
134,2022,Peace,,"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",10000000.0,https://en.wikipedia.org/wiki/The_Center_for_Civil_Liberties,https://api.nobelprize.org/2/laureate/1020
